,year,att,std,score,model,response,treat_year,year_imp,stfips_imp,fownu18_imp,faminctm1_imp,a_maritl_imp,female_imp,fpovcut_imp,povll_imp,anykids_imp,disability_imp,noemp_insured_imp,A_imp,adjusted_year
0,1992,-0.3538006866432653,0.0688038347640252,0.9065973327126848,large_randf,pubonly,1997,0.10654204396704281,0.10270121359289627,0.05869752014952799,0.24836099575773055,0.024430804065762368,0.026173400632046557,0.15894497332510302,0.14057208496172638,0.013600081374857947,0.02357903466603355,0.06217145336727116,0.03422639414000138,-5
1,1993,-0.2428289401197106,0.07587835177133054,0.9065973327126848,large_randf,pubonly,1997,0.10654204396704281,0.10270121359289627,0.05869752014952799,0.24836099575773055,0.024430804065762368,0.026173400632046557,0.15894497332510302,0.14057208496172638,0.013600081374857947,0.02357903466603355,0.06217145336727116,0.03422639414000138,-4
2,1994,0.02826723540458623,0.0686624200800851,0.9065973327126848,large_randf,pubonly,1997,0.10654204396704281,0.10270121359289627,0.05869752014952799,0.24836099575773055,0.024430804065762368,0.026173400632046557,0.15894497332510302,0.14057208496172638,0.013600081374857947,0.02357903466603355,0.06217145336727116,0.03422639414000138,-3
3,1995,0.6959399446242268,0.09006701846183732,0.9065973327126848,large_randf,pubonly,1997,0.10654204396704281,0.10270121359289627,0.05869752014952799,0.24836099575773055,0.024430804065762368,0.026173400632046557,0.15894497332510302,0.14057208496172638,0.013600081374857947,0.02357903466603355,0.06217145336727116,0.03422639414000138,-2
4,1996,0.24824015062124655,0.0717856993229908,0.9065973327126848,large_randf,pubonly,1997,0.10654204396704281,0.10270121359289627,0.05869752014952799,0.24836099575773055,0.024430804065762368,0.026173400632046557,0.15894497332510302,0.14057208496172638,0.013600081374857947,0.02357903466603355,0.06217145336727116,0.03422639414000138,-1
5,1997,0.5675836404865531,0.10043274825081418,0.9065973327126848,large_randf,pubonly,1997,0.10654204396704281,0.10270121359289627,0.05869752014952799,0.24836099575773055,0.024430804065762368,0.026173400632046557,0.15894497332510302,0.14057208496172638,0.013600081374857947,0.02357903466603355,0.06217145336727116,0.03422639414000138,0
6,1998,0.9383729455050834,0.11898710100397462,0.9065973327126848,large_randf,pubonly,1997,0.10654204396704281,0.10270121359289627,0.05869752014952799,0.24836099575773055,0.024430804065762368,0.026173400632046557,0.15894497332510302,0.14057208496172638,0.013600081374857947,0.02357903466603355,0.06217145336727116,0.03422639414000138,1
7,1999,1.5023060450918442,0.14583735223261543,0.9065973327126848,large_randf,pubonly,1997,0.10654204396704281,0.10270121359289627,0.05869752014952799,0.24836099575773055,0.024430804065762368,0.026173400632046557,0.15894497332510302,0.14057208496172638,0.013600081374857947,0.02357903466603355,0.06217145336727116,0.03422639414000138,2
8,2000,2.479217012453412,0.18525748228955624,0.9065973327126848,large_randf,pubonly,1997,0.10654204396704281,0.10270121359289627,0.05869752014952799,0.24836099575773055,0.024430804065762368,0.026173400632046557,0.15894497332510302,0.14057208496172638,0.013600081374857947,0.02357903466603355,0.06217145336727116,0.03422639414000138,3
9,2001,3.0240079154809045,0.24386989749556984,0.9065973327126848,large_randf,pubonly,1997,0.10654204396704281,0.10270121359289627,0.05869752014952799,0.24836099575773055,0.024430804065762368,0.026173400632046557,0.15894497332510302,0.14057208496172638,0.013600081374857947,0.02357903466603355,0.06217145336727116,0.03422639414000138,4
10,2002,3.7169196393752815,0.28958427439047496,0.9065973327126848,large_randf,pubonly,1997,0.10654204396704281,0.10270121359289627,0.05869752014952799,0.24836099575773055,0.024430804065762368,0.026173400632046557,0.15894497332510302,0.14057208496172638,0.013600081374857947,0.02357903466603355,0.06217145336727116,0.03422639414000138,5
11,2003,3.927192535811324,0.30357126360432807,0.9065973327126848,large_randf,pubonly,1997,0.10654204396704281,0.10270121359289627,0.05869752014952799,0.24836099575773055,0.024430804065762368,0.026173400632046557,0.15894497332510302,0.14057208496172638,0.013600081374857947,0.02357903466603355,0.06217145336727116,0.03422639414000138,6
12,2004,3.6841383639016456,0.2960466776447646,0.9065973327126848,large_randf,pubonly,1997,0.10654204396704281,0.10270121359289627,0.05869752014952799,0.24836099575773055,0.024430804065762368,0.026173400632046557,0.15894497332510302,0.14057208496172638,0.013600081374857947,0.02357903466603355,0.06217145336727116,0.03422639414000138,7
13,2005,3.728976648822842,0.30830244372883286,0.9065973327126848,large_randf,pubonly,1997,0.10654204396704281,0.10270121359289627,0.05869752014952799,0.24836099575773055,0.024430804065762368,0.026173400632046557,0.15894497332510302,0.14057208496172638,0.013600081374857947,0.02357903466603355,0.06217145336727116,0.03422639414000138,8
14,2006,4.019270470438967,0.31843993827703176,0.9065973327126848,large_randf,pubonly,1997,0.10654204396704281,0.10270121359289627,0.05869752014952799,0.24836099575773055,0.024430804065762368,0.026173400632046557,0.15894497332510302,0.14057208496172638,0.013600081374857947,0.02357903466603355,0.06217145336727116,0.03422639414000138,9
