,year,att,std,q_model,g_model,q_accuracy,g_accuracy,response,treat_year
0,1992,-0.6321227276949994,1.3115796180598405,xgb_100,large_randf,0.899546424378545,0.9052875190364297,pubonly,1997
1,1993,0.39618929072251846,1.3263680531516522,xgb_100,large_randf,0.899546424378545,0.9052875190364297,pubonly,1997
2,1994,-0.6334775283081464,1.4451226358431553,xgb_100,large_randf,0.899546424378545,0.9052875190364297,pubonly,1997
3,1995,2.1040454479137387,1.5361586370630373,xgb_100,large_randf,0.899546424378545,0.9052875190364297,pubonly,1997
4,1996,-1.693734587442412,1.5970602209301832,xgb_100,large_randf,0.899546424378545,0.9052875190364297,pubonly,1997
5,1997,0.33580177310804304,1.5658291894050074,xgb_100,large_randf,0.899546424378545,0.9052875190364297,pubonly,1997
6,1998,1.3437836319381167,1.5466669533865467,xgb_100,large_randf,0.899546424378545,0.9052875190364297,pubonly,1997
7,1999,1.3676707720135053,1.5657648428683495,xgb_100,large_randf,0.899546424378545,0.9052875190364297,pubonly,1997
8,2000,6.320410440294336,1.588654248518507,xgb_100,large_randf,0.899546424378545,0.9052875190364297,pubonly,1997
9,2001,4.811160937084817,1.3790517056637859,xgb_100,large_randf,0.899546424378545,0.9052875190364297,pubonly,1997
10,2002,5.756111998447208,1.4061152319973533,xgb_100,large_randf,0.899546424378545,0.9052875190364297,pubonly,1997
11,2003,5.123757114751878,1.4204084839572222,xgb_100,large_randf,0.899546424378545,0.9052875190364297,pubonly,1997
12,2004,7.713657831116583,1.4241736371182014,xgb_100,large_randf,0.899546424378545,0.9052875190364297,pubonly,1997
13,2005,5.291536023084699,1.4538088314180804,xgb_100,large_randf,0.899546424378545,0.9052875190364297,pubonly,1997
14,2006,6.246397174135492,1.4647068104035004,xgb_100,large_randf,0.899546424378545,0.9052875190364297,pubonly,1997
15,2007,6.137450920018109,1.4387511348483137,xgb_100,large_randf,0.899546424378545,0.9052875190364297,pubonly,1997
16,2008,6.721464784482706,1.4440615933518925,xgb_100,large_randf,0.899546424378545,0.9052875190364297,pubonly,1997
17,1992,1.1231636350477605,2.0319009378463098,xgb_100,large_randf,0.7567777513275551,0.9052875190364297,privonly,1997
18,1993,-3.9786017278490577,2.102013600468485,xgb_100,large_randf,0.7567777513275551,0.9052875190364297,privonly,1997
19,1994,5.322638883733618,2.094241348968787,xgb_100,large_randf,0.7567777513275551,0.9052875190364297,privonly,1997
20,1995,-1.8817311686660028,2.1053948309809956,xgb_100,large_randf,0.7567777513275551,0.9052875190364297,privonly,1997
21,1996,1.598301929349651,2.1549373814332466,xgb_100,large_randf,0.7567777513275551,0.9052875190364297,privonly,1997
22,1997,-1.7672628004660969,2.174151758013797,xgb_100,large_randf,0.7567777513275551,0.9052875190364297,privonly,1997
23,1998,-3.739447206407668,2.20321284344709,xgb_100,large_randf,0.7567777513275551,0.9052875190364297,privonly,1997
24,1999,2.0984068888412546,2.192354599094951,xgb_100,large_randf,0.7567777513275551,0.9052875190364297,privonly,1997
25,2000,-0.5499621193069806,2.243016345077472,xgb_100,large_randf,0.7567777513275551,0.9052875190364297,privonly,1997
26,2001,-0.5715795168430997,1.851250536332389,xgb_100,large_randf,0.7567777513275551,0.9052875190364297,privonly,1997
27,2002,-3.2589139337069124,1.8556963267772415,xgb_100,large_randf,0.7567777513275551,0.9052875190364297,privonly,1997
28,2003,-4.519786256825237,1.8625005428806793,xgb_100,large_randf,0.7567777513275551,0.9052875190364297,privonly,1997
29,2004,-3.959925452844383,1.8963915545899512,xgb_100,large_randf,0.7567777513275551,0.9052875190364297,privonly,1997
30,2005,-4.20536713387066,1.9012541297326824,xgb_100,large_randf,0.7567777513275551,0.9052875190364297,privonly,1997
31,2006,-2.8224372491964242,1.9101832614958905,xgb_100,large_randf,0.7567777513275551,0.9052875190364297,privonly,1997
32,2007,-4.104202995382586,1.9113868437952752,xgb_100,large_randf,0.7567777513275551,0.9052875190364297,privonly,1997
33,2008,-3.963104751354259,1.894278547401201,xgb_100,large_randf,0.7567777513275551,0.9052875190364297,privonly,1997
34,1992,2.210452524787353,2.096802468487578,xgb_100,large_randf,0.7776224117688164,0.9052875190364297,insured,1997
35,1993,-5.321076523434251,2.173902254347523,xgb_100,large_randf,0.7776224117688164,0.9052875190364297,insured,1997
36,1994,4.606628132663828,2.152857576591041,xgb_100,large_randf,0.7776224117688164,0.9052875190364297,insured,1997
37,1995,1.606116854756293,2.1179531296142637,xgb_100,large_randf,0.7776224117688164,0.9052875190364297,insured,1997
38,1996,0.0730793503893382,2.181309596098964,xgb_100,large_randf,0.7776224117688164,0.9052875190364297,insured,1997
39,1997,-3.1350484399349225,2.18133836371427,xgb_100,large_randf,0.7776224117688164,0.9052875190364297,insured,1997
40,1998,-1.1785395800472185,2.191652472738944,xgb_100,large_randf,0.7776224117688164,0.9052875190364297,insured,1997
41,1999,2.5314245742988755,2.2025005822051913,xgb_100,large_randf,0.7776224117688164,0.9052875190364297,insured,1997
42,2000,4.676259696893351,2.224259015985008,xgb_100,large_randf,0.7776224117688164,0.9052875190364297,insured,1997
43,2001,3.0233532835531327,1.8464309478146674,xgb_100,large_randf,0.7776224117688164,0.9052875190364297,insured,1997
44,2002,1.671029695213138,1.831478343668314,xgb_100,large_randf,0.7776224117688164,0.9052875190364297,insured,1997
45,2003,1.2066271617718116,1.8475452217428465,xgb_100,large_randf,0.7776224117688164,0.9052875190364297,insured,1997
46,2004,3.54389455357502,1.851031426902664,xgb_100,large_randf,0.7776224117688164,0.9052875190364297,insured,1997
