,year,att,std,q_model,g_model,q_accuracy,g_accuracy,response,treat_year
0,1992,0.08032774810926072,1.1280927135142502,logistic,large_randf,0.8880214400483144,0.8368773331586874,pubonly,1998
1,1993,0.10393879350769276,1.1185541162360992,logistic,large_randf,0.8880214400483144,0.8368773331586874,pubonly,1998
2,1994,-0.19195891863174344,1.091081459788801,logistic,large_randf,0.8880214400483144,0.8368773331586874,pubonly,1998
3,1995,-0.08806780554278898,1.141853677722545,logistic,large_randf,0.8880214400483144,0.8368773331586874,pubonly,1998
4,1996,-3.2563181936369237,1.2645271345325844,logistic,large_randf,0.8880214400483144,0.8368773331586874,pubonly,1998
5,1997,0.9301896061168176,1.3266912679650762,logistic,large_randf,0.8880214400483144,0.8368773331586874,pubonly,1998
6,1998,0.3142949331371915,1.3245464406668452,logistic,large_randf,0.8880214400483144,0.8368773331586874,pubonly,1998
7,1999,2.662268827907879,1.239240578979156,logistic,large_randf,0.8880214400483144,0.8368773331586874,pubonly,1998
8,2000,5.14249881587433,1.2546264156469609,logistic,large_randf,0.8880214400483144,0.8368773331586874,pubonly,1998
9,2001,4.227671409043137,1.1206750249020505,logistic,large_randf,0.8880214400483144,0.8368773331586874,pubonly,1998
10,2002,3.3730345842567893,1.192996910543313,logistic,large_randf,0.8880214400483144,0.8368773331586874,pubonly,1998
11,2003,4.2732390122393715,1.1803886283552312,logistic,large_randf,0.8880214400483144,0.8368773331586874,pubonly,1998
12,2004,6.295931172625532,1.155306001821454,logistic,large_randf,0.8880214400483144,0.8368773331586874,pubonly,1998
13,2005,5.273108389144462,1.1406613641032959,logistic,large_randf,0.8880214400483144,0.8368773331586874,pubonly,1998
14,2006,4.771481486953165,1.1834006571881155,logistic,large_randf,0.8880214400483144,0.8368773331586874,pubonly,1998
15,2007,5.556253816168005,1.1639813410976376,logistic,large_randf,0.8880214400483144,0.8368773331586874,pubonly,1998
16,2008,6.038129319536507,1.1463804407623452,logistic,large_randf,0.8880214400483144,0.8368773331586874,pubonly,1998
17,1992,0.04886562951135664,1.032676549973393,large_randf,large_randf,0.9019200395703123,0.8368773331586874,pubonly,1998
18,1993,0.374767179953008,1.021322537642397,large_randf,large_randf,0.9019200395703123,0.8368773331586874,pubonly,1998
19,1994,-0.7349113587574011,1.0370085428732436,large_randf,large_randf,0.9019200395703123,0.8368773331586874,pubonly,1998
20,1995,-0.10749202740824133,1.0980874856375573,large_randf,large_randf,0.9019200395703123,0.8368773331586874,pubonly,1998
21,1996,-2.574379360536398,1.2053977939804212,large_randf,large_randf,0.9019200395703123,0.8368773331586874,pubonly,1998
22,1997,0.9586688885350512,1.2221017031732389,large_randf,large_randf,0.9019200395703123,0.8368773331586874,pubonly,1998
23,1998,-0.13279313378519939,1.21546446515883,large_randf,large_randf,0.9019200395703123,0.8368773331586874,pubonly,1998
24,1999,1.523486108709717,1.1584415291869663,large_randf,large_randf,0.9019200395703123,0.8368773331586874,pubonly,1998
25,2000,4.238774851144544,1.1744651935377164,large_randf,large_randf,0.9019200395703123,0.8368773331586874,pubonly,1998
26,2001,3.309548442433604,1.0240358150121984,large_randf,large_randf,0.9019200395703123,0.8368773331586874,pubonly,1998
27,2002,2.2772474679961046,1.1051223140714383,large_randf,large_randf,0.9019200395703123,0.8368773331586874,pubonly,1998
28,2003,3.3920532597290864,1.0909656908040328,large_randf,large_randf,0.9019200395703123,0.8368773331586874,pubonly,1998
29,2004,5.151089682441291,1.0577023803654753,large_randf,large_randf,0.9019200395703123,0.8368773331586874,pubonly,1998
30,2005,3.984330196004514,1.0485110380424583,large_randf,large_randf,0.9019200395703123,0.8368773331586874,pubonly,1998
31,2006,3.36278796639349,1.0867925285373117,large_randf,large_randf,0.9019200395703123,0.8368773331586874,pubonly,1998
32,2007,4.163148328701084,1.0737924505694931,large_randf,large_randf,0.9019200395703123,0.8368773331586874,pubonly,1998
33,2008,4.609411194328892,1.0522576571741282,large_randf,large_randf,0.9019200395703123,0.8368773331586874,pubonly,1998
34,1992,-0.07410677465688874,1.8701114744355853,adab,large_randf,0.8965060377940386,0.8368773331586874,pubonly,1998
35,1993,-0.08799559148226975,1.857253374666924,adab,large_randf,0.8965060377940386,0.8368773331586874,pubonly,1998
36,1994,-0.215359304211035,1.8413714366531444,adab,large_randf,0.8965060377940386,0.8368773331586874,pubonly,1998
37,1995,-0.7728520208472702,1.8819567031956084,adab,large_randf,0.8965060377940386,0.8368773331586874,pubonly,1998
38,1996,-3.574987476066286,1.9264809346404594,adab,large_randf,0.8965060377940386,0.8368773331586874,pubonly,1998
39,1997,1.470436935591823,1.9440737772299597,adab,large_randf,0.8965060377940386,0.8368773331586874,pubonly,1998
40,1998,0.03418450868723641,1.960928964372098,adab,large_randf,0.8965060377940386,0.8368773331586874,pubonly,1998
41,1999,1.96714824845517,1.9187303661148558,adab,large_randf,0.8965060377940386,0.8368773331586874,pubonly,1998
42,2000,4.663480325129591,1.928986019630866,adab,large_randf,0.8965060377940386,0.8368773331586874,pubonly,1998
43,2001,3.1626622705241156,1.7123659895600125,adab,large_randf,0.8965060377940386,0.8368773331586874,pubonly,1998
44,2002,2.321703045606293,1.7377659595249333,adab,large_randf,0.8965060377940386,0.8368773331586874,pubonly,1998
45,2003,3.8667109560438875,1.7280108690768035,adab,large_randf,0.8965060377940386,0.8368773331586874,pubonly,1998
46,2004,5.5672802819885865,1.7200141061218006,adab,large_randf,0.8965060377940386,0.8368773331586874,pubonly,1998
47,2005,4.563426468258713,1.6988620726382149,adab,large_randf,0.8965060377940386,0.8368773331586874,pubonly,1998
